,vocab,count
0,get,2433
1,go,1781
2,amp,1552
3,time,1432
4,day,1393
5,people,1341
6,good,1302
7,think,1216
8,make,1196
9,see,1116
10,work,1100
11,say,1079
12,know,1068
13,need,1030
14,love,996
15,look,979
16,covid,970
17,great,926
18,year,901
19,melbourne,899
20,victoria,887
21,australia,886
22,take,876
23,today,805
24,come,739
25,thanks,720
26,want,705
27,new,680
28,thing,648
29,do,635
30,week,619
31,way,606
32,be,584
33,give,583
34,use,572
35,last,563
36,happy,559
37,many,546
38,morning,535
39,let,514
40,post,504
41,home,496
42,life,484
43,thank,470
44,call,463
45,keep,460
46,right,450
47,watch,449
48,feel,441
49,play,441
50,best,439
51,much,438
52,game,438
53,please,436
54,try,433
55,hope,424
56,live,422
57,help,408
58,close,399
59,world,399
60,photo,396
61,,395
62,show,390
63,case,389
64,fuck,384
65,leave,382
66,find,378
67,youre,364
68,tell,359
69,read,351
70,run,350
71,state,348
72,lot,340
73,care,338
74,sure,338
75,man,337
76,change,336
77,put,332
78,government,332
79,wait,331
80,next,331
81,trump,327
82,big,326
83,news,326
84,something,325
85,everyone,324
86,job,320
87,stop,316
88,team,314
89,happen,313
90,lockdown,306
91,little,306
92,first,304
93,family,304
94,vic,304
95,mean,302
96,school,302
97,test,300
98,open,291
99,place,290
100,old,289
101,health,287
102,ask,287
103,night,284
104,question,283
105,ok,281
106,agree,280
107,win,279
108,end,279
109,kid,278
110,mate,277
111,pay,276
112,stay,271
113,point,270
114,beautiful,269
115,month,263
116,number,262
117,miss,262
118,australian,262
119,seem,261
120,talk,258
121,pm,258
122,sta,257
123,suppo,257
124,friend,256
125,mask,254
126,country,253
127,hard,252
128,guy,252
129,real,248
130,lane,247
131,yes,247
132,free,245
133,someone,244
134,lose,242
135,believe,239
136,follow,238
137,anyone,238
138,medium,235
139,nothing,235
140,he,234
141,share,233
142,word,232
143,move,231
144,head,230
145,lol,229
146,tweet,229
147,pa,228
148,hear,228
149,nice,228
150,yeah,228
151,community,226
152,walk,225
153,insider,225
154,check,224
155,didnt,224
156,money,222
157,bad,220
158,public,219
159,woman,217
160,re,217
161,birthday,216
162,club,216
163,vote,215
164,listen,214
165,start,213
166,true,212
167,person,211
168,season,211
169,doesnt,209
170,ill,209
171,buy,208
172,send,208
173,hand,208
174,death,205
175,twitter,203
176,victraffic,203
177,idea,201
178,virus,200
179,book,200
180,bring,200
181,full,199
182,coronavirus,198
183,business,196
184,wrong,195
185,name,195
186,story,195
187,remember,194
188,age,194
189,video,193
190,face,193
191,issue,192
192,road,191
193,safe,191
194,learn,191
195,auspol,189
196,high,189
197,bit,187
198,wear,187
199,sorry,187
200,pandemic,187
201,shit,186
202,anything,184
203,hour,182
204,enjoy,182
205,set,182
206,turn,182
207,break,179
208,weekend,179
209,social,177
210,long,176
211,better,176
212,line,176
213,different,176
214,ve,176
215,power,175
216,player,175
217,andrew,174
218,hey,174
219,stuff,173
220,victorian,173
221,house,172
222,party,172
223,sound,172
224,top,171
225,reason,171
226,due,170
227,like,169
228,race,169
229,stand,169
230,everything,168
231,amaze,167
232,wonder,167
233,able,166
234,god,166
235,dan,165
236,fact,164
237,fan,164
238,others,164
239,plan,162
240,course,162
241,human,160
242,yesterday,159
243,allow,158
244,important,158
245,write,158
246,rest,157
247,online,156
248,lie,155
249,dog,155
250,understand,155
251,service,155
252,moment,154
253,christmas,154
254,isnt,154
255,hold,154
256,awesome,154
257,problem,153
258,second,153
259,wish,153
260,pick,152
261,police,149
262,order,149
263,interest,149
264,become,149
265,include,149
266,car,148
267,least,148
268,mind,148
269,sad,148
270,haha,147
271,th,147
272,fun,147
273,rule,146
274,hit,146
275,join,146
276,continue,146
277,return,145
278,st,145
279,sign,145
280,child,144
281,system,144
282,murdoch,144
283,one,144
284,coffee,143
285,china,143
286,create,140
287,white,140
288,wow,140
289,die,140
290,music,139
291,drive,139
292,sit,139
293,there,139
294,theyre,138
295,side,138
296,rd,138
297,comment,137
298,local,137
299,quarantine,137
300,ll,136
301,au,135
302,boy,135
303,control,135
304,traffic,134
305,worker,134
306,list,133
307,guess,133
308,link,133
309,election,133
310,ready,133
311,black,132
312,contact,132
313,whats,132
314,term,132
315,food,131
316,phone,131
317,young,130
318,travel,129
319,morrison,129
320,future,129
321,yep,128
322,glad,128
323,poor,127
324,thought,127
325,cause,126
326,whole,126
327,save,125
328,girl,125
329,wonderful,125
330,positive,125
331,leader,124
332,favourite,124
333,base,124
334,street,124
335,record,123
336,step,123
337,history,123
338,group,123
339,final,122
340,lead,122
341,add,122
342,article,122
343,park,121
344,result,121
345,speak,121
346,answer,120
347,risk,120
348,congratulation,119
349,forget,118
350,sell,118
351,hi,118
352,law,118
353,message,117
354,brilliant,117
355,expect,117
356,oh,117
357,track,117
358,cat,116
359,account,116
360,small,116
361,blame,116
362,experience,116
363,available,116
364,staff,116
